Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.us.ga4gh.phenopacket.json	33125	-	0	0	0	0	0	0	7	171	0	0	0	0	1	0	0	1	0	0	211	125	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-Onset.json	1848	7	0	0	0	0	0	27	0	61	0	0	1	2568	0	0	0	0	0	0	79	1101	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-Individual.json	2658	7	1	0	0	0	0	178	0	132	0	0	0	1	0	0	0	1	0	0	227	949	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-phenopackets-genomic-interpretation.json	4823	8	0	0	0	0	0	285	0	182	0	0	0	0	0	0	0	1	0	0	256	747	0	0	0	8	0	1
fsh-generated/resources/ValueSet-HistologicalDiagnosis.json	976	3	0	0	0	0	0	0	1	215	0	0	0	0	0	0	0	0	0	0	10	5181	0	0	0	0	0	0
fsh-generated/resources/Observation-id.phenotypicfeature.4.json	1199	5	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0
fsh-generated/resources/Observation-karyotypic-sex-valid-1.json	423	2	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0
fsh-generated/resources/Observation-phenotypic-abnormality-invalid-meta-profile.json	4184	8	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	18	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-categories.json	421	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	70	0	0	0	0	0	0
fsh-generated/resources/ValueSet-DiagnosticMarker.json	732	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	327	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PathologicalTnmFinding.json	1931	5	0	0	0	0	0	32	0	20	0	0	0	0	0	0	0	0	0	0	47	185	0	0	0	1	0	0
fsh-generated/resources/ValueSet-interpretationStatus-vs.json	1146	3	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	9	317	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MaterialSample.json	1632	4	0	0	0	0	0	30	0	20	0	0	0	0	0	0	0	0	0	0	45	152	0	0	0	2	0	0
fsh-generated/resources/Observation-hp.0001324.json	624	3	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	7	18	0	0	0	0	0	0
fsh-generated/resources/ValueSet-acmgPathogenicityClassification-vs.json	1387	3	0	0	0	0	0	0	0	242	0	0	1	0	0	0	0	0	0	0	10	315	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-DiagnosticMarker.json	2220	5	0	0	0	0	0	31	0	19	0	0	0	0	0	0	0	0	0	0	47	115	0	0	0	1	0	0
fsh-generated/resources/Patient-Proband1.json	1379	4	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-vcf-info.json	1497	4	0	0	0	0	0	24	0	48	0	0	0	0	0	0	0	0	0	0	44	164	0	0	0	2	0	0
fsh-generated/resources/Practitioner-PhenopacketPractitionerExample01.json	422	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0
fsh-generated/resources/ValueSet-geno-ontology-allelic-state-vs.json	629	2	0	0	1	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	8	314	0	0	0	0	0	0
